track id,genre,amazement,solemnity,tenderness,nostalgia,calmness,power,joyful_activation,tension,sadness,count
1,classical,7,16,10,14,30,1,4,3,15,48
2,classical,5,8,20,16,35,2,1,1,5,47
3,classical,8,16,6,8,3,13,19,11,7,46
4,classical,5,6,22,19,32,1,0,1,6,42
5,classical,2,13,14,23,14,2,3,8,14,44
6,classical,5,10,10,14,26,3,11,6,6,47
7,classical,16,4,7,4,5,10,38,7,1,47
8,classical,4,13,15,14,22,2,9,7,7,46
9,classical,5,12,14,18,21,2,3,1,16,44
10,classical,13,10,1,2,1,24,30,10,1,47
11,classical,2,14,11,18,17,2,3,6,18,47
12,classical,16,3,8,8,8,4,38,4,2,51
13,classical,1,15,7,19,18,7,1,11,12,47
14,classical,6,10,15,16,19,4,7,8,6,49
15,classical,3,15,13,20,16,1,1,4,20,44
16,classical,4,12,2,2,1,31,5,28,6,44
17,classical,4,7,25,19,28,0,0,2,8,39
18,classical,19,9,3,6,6,5,41,2,0,51
19,classical,5,16,16,13,22,2,2,5,10,47
20,classical,4,19,7,14,23,2,3,9,13,45
21,classical,7,10,18,12,28,1,9,2,4,45
22,classical,9,12,20,5,18,3,17,4,3,40
23,classical,7,22,2,4,2,17,28,5,4,46
24,classical,5,11,0,0,4,21,27,20,4,49
25,classical,9,21,7,12,12,2,11,10,7,46
26,classical,12,12,1,9,1,15,29,10,3,44
27,classical,4,28,0,2,1,30,2,16,8,40
28,classical,16,4,13,3,21,0,34,2,0,54
29,classical,7,13,13,13,20,1,6,4,16,48
30,classical,22,17,1,1,5,19,26,1,0,46
31,classical,4,9,13,24,23,2,1,4,12,47
32,classical,3,10,9,16,19,1,5,2,13,44
33,classical,0,5,12,12,23,0,2,2,11,35
34,classical,6,3,3,3,7,1,16,2,1,25
35,classical,2,1,4,3,12,0,1,2,3,17
36,classical,2,2,5,6,9,2,0,3,3,17
37,classical,3,4,8,6,6,1,0,4,5,18
38,classical,1,4,5,6,9,0,1,1,6,17
39,classical,10,5,0,0,0,9,12,3,0,19
40,classical,5,5,0,1,0,8,10,6,0,17
41,classical,3,7,4,6,6,1,3,2,3,19
42,classical,3,3,4,3,11,2,0,2,2,17
43,classical,4,4,3,4,1,3,5,4,5,17
44,classical,3,6,4,3,8,2,4,1,3,17
45,classical,1,4,3,7,9,1,1,1,9,17
46,classical,3,2,8,7,9,0,1,0,2,17
47,classical,1,3,4,8,7,1,1,2,11,17
48,classical,1,8,1,6,4,1,2,6,5,17
49,classical,0,10,2,2,2,5,1,8,11,17
50,classical,5,6,3,2,0,6,12,5,1,17
51,classical,2,3,4,12,6,0,0,2,7,18
52,classical,4,6,1,1,1,4,9,7,1,18
53,classical,4,6,0,3,0,5,6,12,2,17
54,classical,3,3,3,0,8,5,15,2,2,18
55,classical,2,1,7,2,10,1,4,5,3,18
56,classical,3,3,6,5,13,1,2,0,3,18
57,classical,4,12,4,2,2,1,1,4,7,18
58,classical,1,6,2,3,2,8,3,8,4,17
59,classical,4,4,0,2,0,8,10,5,2,17
60,classical,2,5,5,9,9,0,0,2,9,17
61,classical,3,3,0,3,3,1,10,6,2,18
62,classical,3,0,2,4,0,2,13,5,0,17
63,classical,1,5,4,7,8,0,0,3,5,17
64,classical,4,1,1,1,4,2,10,4,0,17
65,classical,4,1,0,0,0,5,12,5,0,17
66,classical,2,4,0,3,1,3,4,8,1,17
67,classical,3,3,5,1,8,2,4,4,1,17
68,classical,0,4,5,8,10,1,1,2,4,18
69,classical,2,8,27,23,25,2,3,3,0,38
70,classical,4,7,1,9,8,1,0,3,5,18
71,classical,3,5,1,3,4,3,11,2,0,17
72,classical,5,6,0,3,6,4,6,6,3,17
73,classical,3,3,3,6,5,0,3,4,0,17
74,classical,5,4,1,3,4,4,6,8,2,18
75,classical,3,2,2,3,2,4,6,8,1,17
76,classical,0,7,0,3,2,2,6,8,4,17
77,classical,1,2,7,6,8,1,5,3,0,17
78,classical,2,3,2,3,1,4,11,7,0,17
79,classical,3,2,1,5,4,3,10,3,2,17
80,classical,4,6,1,4,5,2,11,1,0,17
81,classical,2,5,1,0,3,5,12,4,0,16
82,classical,1,1,8,9,13,0,0,0,3,16
83,classical,3,2,4,9,3,1,7,3,7,17
84,classical,1,9,4,7,8,1,2,2,3,17
85,classical,6,1,1,2,3,2,8,6,2,17
86,classical,3,6,1,3,5,4,3,7,3,18
87,classical,1,4,5,7,9,0,0,0,6,17
88,classical,4,1,2,3,0,4,8,8,3,17
89,classical,0,1,7,7,12,0,1,0,2,17
90,classical,4,5,0,0,2,2,6,6,0,17
91,classical,0,7,3,5,6,1,0,1,10,17
92,classical,2,7,3,6,9,0,2,1,2,17
93,classical,2,0,6,4,15,0,3,0,2,17
94,classical,5,10,0,1,6,2,5,4,3,17
95,classical,5,3,4,3,2,2,12,1,2,17
96,classical,1,3,6,5,8,1,6,1,1,17
97,classical,2,8,1,3,4,0,0,5,6,17
98,classical,1,7,4,6,10,0,0,1,6,17
99,classical,2,2,7,4,15,2,3,1,3,17
100,classical,2,8,0,2,3,9,2,5,2,17
101,rock,1,13,9,15,5,13,10,12,15,50
102,rock,6,2,18,30,18,0,10,2,4,51
103,rock,5,3,3,8,8,22,24,12,4,48
104,rock,9,10,13,21,11,2,6,7,9,45
105,rock,3,11,4,18,9,12,2,11,19,44
106,rock,4,4,13,22,18,2,3,3,22,44
107,rock,11,14,8,10,15,5,12,7,7,44
108,rock,6,13,5,16,13,12,2,14,9,38
109,rock,9,5,3,7,4,21,21,16,3,46
110,rock,3,8,1,7,5,24,6,17,18,46
111,rock,12,3,1,5,5,19,35,7,4,50
112,rock,7,10,2,16,15,13,4,15,8,52
113,rock,2,5,21,21,21,0,1,3,17,46
114,rock,3,14,2,15,9,19,5,14,10,52
115,rock,3,10,3,13,6,22,6,13,14,46
116,rock,4,9,12,18,12,12,10,8,5,49
117,rock,3,7,15,18,26,0,3,5,11,45
118,rock,3,5,22,20,20,0,1,1,8,38
119,rock,7,4,2,1,0,8,11,5,0,25
120,rock,3,4,5,9,4,5,3,3,3,26
121,rock,3,1,0,0,0,10,3,9,3,20
122,rock,3,2,11,7,5,3,1,2,1,19
123,rock,1,0,0,2,0,4,13,3,1,17
124,rock,2,1,1,4,3,1,2,3,5,16
125,rock,0,1,1,2,0,1,6,3,2,14
126,rock,1,2,0,0,0,3,9,3,0,14
127,rock,2,0,0,3,0,2,5,7,2,14
128,rock,5,2,0,5,1,4,9,2,1,15
129,rock,4,2,2,1,2,6,8,2,0,14
130,rock,5,6,0,1,2,6,3,6,2,14
131,rock,0,2,2,4,1,2,0,5,12,14
132,rock,2,0,3,5,2,1,6,2,3,14
133,rock,1,3,4,5,9,2,0,0,5,14
134,rock,0,3,6,4,5,2,1,2,4,15
135,rock,1,1,4,2,6,3,3,4,3,14
136,rock,1,2,1,3,1,7,5,6,1,14
137,rock,2,0,1,2,0,7,7,5,1,14
138,rock,2,0,0,1,2,7,9,2,1,14
139,rock,3,2,1,4,0,10,1,5,5,14
140,rock,4,0,1,3,1,6,8,3,0,13
141,rock,2,2,0,4,1,3,1,3,7,14
142,rock,0,3,2,3,5,2,0,5,7,15
143,rock,2,3,2,3,8,3,4,2,2,14
144,rock,4,1,0,0,2,4,9,6,0,14
145,rock,0,0,3,8,9,1,0,1,5,14
146,rock,3,4,4,5,4,2,3,1,5,14
147,rock,2,1,2,7,6,2,4,2,4,14
148,rock,5,0,1,4,3,3,5,3,1,14
149,rock,1,1,5,7,9,0,0,1,4,14
150,rock,2,7,2,3,4,2,1,4,3,14
151,rock,0,0,4,6,3,5,6,1,3,13
152,rock,1,4,0,5,0,11,2,5,4,14
153,rock,1,1,0,10,5,1,2,0,7,14
154,rock,2,2,1,5,5,1,5,2,4,14
155,rock,0,5,1,5,4,3,3,2,2,14
156,rock,3,0,0,0,1,6,14,1,0,14
157,rock,2,3,2,3,3,1,3,4,4,14
158,rock,6,5,1,5,6,3,5,2,3,14
159,rock,3,0,4,6,4,1,2,4,0,14
160,rock,0,2,3,2,2,1,4,7,2,14
161,rock,0,2,1,1,2,3,0,13,2,14
162,rock,0,1,0,3,0,9,7,5,1,14
163,rock,1,1,4,7,2,5,3,3,2,14
164,rock,2,2,6,6,4,1,2,1,5,14
165,rock,0,2,10,6,8,0,0,0,3,14
166,rock,3,1,3,9,3,3,4,2,2,14
167,rock,2,1,2,3,2,1,4,2,2,14
168,rock,2,0,2,9,5,0,1,2,4,13
169,rock,4,1,0,1,0,6,9,3,0,13
170,rock,3,2,5,7,4,0,1,0,4,13
171,rock,0,3,0,2,2,6,4,8,2,14
172,rock,4,2,5,8,5,1,3,1,0,14
173,rock,4,2,1,6,7,5,9,3,0,14
174,rock,2,1,0,2,0,9,4,5,3,13
175,rock,2,2,5,8,5,2,2,0,3,14
176,rock,0,0,6,7,7,0,1,1,22,33
177,rock,0,1,6,6,8,3,3,1,3,14
178,rock,4,2,5,4,8,1,2,2,0,14
179,rock,2,2,0,3,1,0,10,4,1,14
180,rock,2,2,2,1,4,4,1,4,6,14
181,rock,1,1,4,1,4,4,8,3,0,14
182,rock,1,1,8,5,8,0,0,0,4,14
183,rock,1,1,5,6,7,0,1,0,5,14
184,rock,2,1,4,5,8,0,2,3,0,14
185,rock,0,1,0,0,2,6,6,6,1,14
186,rock,3,1,4,4,2,4,3,2,3,14
187,rock,0,5,3,5,6,1,0,2,5,14
188,rock,1,0,7,8,3,1,2,3,7,14
189,rock,2,1,8,1,4,2,7,3,2,15
190,rock,0,2,6,8,7,1,0,2,6,14
191,rock,2,3,6,6,6,1,2,1,2,13
192,rock,0,2,6,6,6,2,3,2,2,14
193,rock,0,2,6,7,6,0,0,1,8,13
194,rock,2,1,4,4,5,3,6,0,5,16
195,rock,0,2,7,9,9,0,0,0,6,14
196,rock,3,2,0,7,6,1,4,2,4,14
197,rock,2,2,1,2,1,4,6,3,1,14
198,rock,3,0,1,2,1,6,10,0,0,14
199,rock,5,2,1,3,0,9,4,1,1,14
200,rock,3,0,4,3,2,1,3,1,1,14
201,electronic,6,7,0,1,8,15,19,32,3,50
202,electronic,8,9,3,5,26,4,26,10,0,50
203,electronic,5,21,1,3,5,22,1,24,9,44
204,electronic,4,15,0,4,3,27,2,31,5,50
205,electronic,12,10,14,13,30,2,3,3,5,39
206,electronic,4,7,1,1,4,18,30,25,2,48
207,electronic,6,8,1,6,11,6,19,33,3,59
208,electronic,6,16,7,8,22,8,5,15,5,47
209,electronic,6,5,0,3,3,18,29,28,1,52
210,electronic,5,17,4,7,15,15,2,20,6,45
211,electronic,4,7,4,2,12,11,14,35,7,58
212,electronic,6,10,2,7,12,19,20,17,0,53
213,electronic,8,6,4,9,18,8,21,10,6,58
214,electronic,8,4,3,9,9,9,30,16,4,56
215,electronic,12,6,2,6,15,10,26,13,2,57
216,electronic,5,5,5,5,7,10,21,18,2,43
217,electronic,1,6,10,16,26,1,0,2,10,34
218,electronic,6,7,2,2,16,3,5,9,2,29
219,electronic,2,3,3,0,6,2,1,2,5,11
220,electronic,9,2,4,5,10,3,5,5,2,27
221,electronic,2,12,1,1,2,10,1,7,3,22
222,electronic,2,0,0,0,0,7,7,13,2,22
223,electronic,2,0,0,0,1,3,7,4,1,11
224,electronic,1,3,3,1,8,0,3,1,1,11
225,electronic,0,4,0,0,6,3,0,12,4,18
226,electronic,0,7,1,5,6,2,0,1,5,13
227,electronic,2,2,1,2,7,1,1,1,0,11
228,electronic,1,1,0,1,0,10,6,1,0,11
229,electronic,2,1,0,0,0,3,3,8,1,11
230,electronic,1,1,0,1,2,5,6,4,3,11
231,electronic,1,2,0,0,2,5,2,4,1,12
232,electronic,3,3,3,1,4,5,0,3,0,11
233,electronic,0,4,0,0,0,3,1,7,0,11
234,electronic,0,4,1,0,3,3,2,5,2,11
235,electronic,1,3,1,2,4,3,2,2,2,11
236,electronic,0,2,0,1,0,4,6,4,1,11
237,electronic,0,5,1,2,5,1,0,5,1,11
238,electronic,1,3,2,5,7,1,0,5,4,11
239,electronic,1,3,1,0,0,2,4,5,1,11
240,electronic,1,4,0,1,4,0,0,7,0,11
241,electronic,1,7,1,1,6,3,2,1,1,11
242,electronic,0,5,0,8,6,1,1,2,3,11
243,electronic,0,2,0,2,0,6,2,5,2,11
244,electronic,0,5,0,1,3,2,0,4,5,11
245,electronic,0,6,1,1,2,3,0,8,3,11
246,electronic,1,4,0,3,3,4,3,4,2,11
247,electronic,3,5,0,2,6,2,0,4,2,11
248,electronic,1,3,0,0,1,11,2,6,1,11
249,electronic,1,6,4,4,7,1,1,0,0,11
250,electronic,0,2,1,0,0,6,7,6,0,12
251,electronic,4,4,1,1,0,6,4,3,4,11
252,electronic,1,4,2,4,3,2,0,3,6,11
253,electronic,2,3,1,1,2,2,3,6,1,11
254,electronic,2,5,0,0,3,3,6,8,1,11
255,electronic,1,2,0,1,2,6,7,7,1,12
256,electronic,2,0,1,0,1,5,1,8,3,11
257,electronic,3,1,0,3,1,0,5,3,1,11
258,electronic,1,2,1,2,5,0,1,3,0,11
259,electronic,0,1,3,0,6,2,5,3,1,11
260,electronic,4,4,1,1,0,7,1,9,1,11
261,electronic,2,5,1,2,3,1,0,8,3,12
262,electronic,0,2,0,0,1,1,0,9,4,11
263,electronic,2,3,1,2,5,0,0,5,6,11
264,electronic,2,1,0,0,1,4,6,6,0,11
265,electronic,2,5,2,3,5,3,1,3,2,11
266,electronic,2,3,1,2,1,4,4,7,2,11
267,electronic,1,5,2,3,5,2,0,4,4,11
268,electronic,1,1,0,1,0,2,5,6,0,11
269,electronic,3,1,0,1,1,3,8,1,0,11
270,electronic,1,2,2,3,8,0,1,1,1,11
271,electronic,0,1,0,2,0,5,5,5,2,11
272,electronic,1,1,0,1,1,1,7,4,0,11
273,electronic,1,5,1,0,0,7,6,2,1,11
274,electronic,2,2,2,1,7,0,1,3,1,11
275,electronic,2,4,0,2,1,3,0,6,2,11
276,electronic,0,2,0,2,0,3,7,5,1,11
277,electronic,1,3,0,0,0,6,5,5,0,11
278,electronic,1,1,0,4,0,3,6,1,0,11
279,electronic,0,6,0,4,5,2,0,5,2,11
280,electronic,1,4,0,3,3,3,2,4,0,11
281,electronic,3,0,0,0,3,4,8,3,0,11
282,electronic,3,3,0,2,2,3,5,5,0,11
283,electronic,1,7,2,2,9,1,1,5,1,12
284,electronic,1,4,1,0,6,0,3,3,0,11
285,electronic,1,4,0,5,6,1,2,2,3,11
286,electronic,0,2,0,1,2,4,3,7,1,11
287,electronic,2,1,2,1,5,2,6,1,1,11
288,electronic,3,5,0,3,7,1,5,2,1,11
289,electronic,2,6,1,1,6,2,2,1,5,11
290,electronic,1,2,0,3,5,5,4,4,0,11
291,electronic,0,6,2,3,6,2,1,3,1,11
292,electronic,2,2,0,0,3,4,6,4,0,11
293,electronic,1,2,1,1,1,7,4,4,0,11
294,electronic,3,2,2,1,4,1,2,1,1,11
295,electronic,1,2,1,2,6,0,0,2,3,11
296,electronic,0,1,3,3,5,2,6,3,1,11
297,electronic,0,5,0,0,2,5,1,4,4,11
298,electronic,2,2,1,2,4,2,6,1,3,11
299,electronic,1,6,1,1,3,1,1,4,3,11
300,electronic,1,0,1,1,1,5,5,4,1,11
301,pop,13,1,22,21,15,2,17,7,5,53
302,pop,3,5,19,16,22,1,14,4,6,45
303,pop,1,11,14,15,16,0,0,15,21,50
304,pop,10,17,6,10,8,13,4,13,12,46
305,pop,7,4,15,25,16,1,16,4,5,54
306,pop,6,3,20,21,12,2,11,5,12,48
307,pop,2,8,17,22,19,1,1,2,19,42
308,pop,0,6,22,19,24,0,0,4,16,51
309,pop,2,13,5,19,20,4,2,7,19,47
310,pop,6,2,28,24,13,0,5,2,12,45
311,pop,2,6,8,16,22,8,4,10,15,47
312,pop,4,10,7,19,15,8,4,6,20,52
313,pop,8,4,3,5,2,18,27,20,5,57
314,pop,4,6,12,19,31,2,4,4,8,49
315,pop,2,5,13,21,24,2,4,7,12,44
316,pop,3,9,11,11,18,5,8,6,3,41
317,pop,1,9,14,9,24,1,2,2,9,36
318,pop,3,9,4,3,3,10,8,8,5,28
319,pop,1,5,1,1,4,1,0,12,5,19
320,pop,2,11,4,5,10,2,1,2,5,19
321,pop,4,0,1,1,1,9,7,3,2,15
322,pop,0,3,2,6,9,1,0,1,4,13
323,pop,0,0,1,5,7,1,4,5,2,12
324,pop,1,2,4,6,4,0,0,2,5,12
325,pop,0,2,5,7,6,0,0,1,6,12
326,pop,1,0,3,2,6,0,0,5,5,12
327,pop,1,0,7,4,7,0,0,0,4,12
328,pop,2,2,0,2,0,2,10,6,0,15
329,pop,1,0,1,8,2,2,3,2,5,12
330,pop,3,1,7,4,5,0,2,1,1,12
331,pop,0,3,1,5,2,3,0,5,7,12
332,pop,1,1,7,5,2,0,3,1,4,11
333,pop,0,0,5,5,7,0,0,1,5,12
334,pop,1,2,4,5,3,3,2,1,1,11
335,pop,2,3,0,1,0,5,6,1,0,12
336,pop,2,1,1,1,0,4,9,3,0,14
337,pop,0,3,2,7,4,0,1,2,1,11
338,pop,1,2,2,7,7,2,2,0,3,12
339,pop,0,4,0,4,4,1,0,7,3,12
340,pop,1,6,1,0,5,2,1,7,1,12
341,pop,2,1,4,7,1,1,4,0,4,12
342,pop,1,0,3,4,7,0,0,1,4,12
343,pop,0,1,0,2,0,6,5,4,2,12
344,pop,0,1,0,1,2,2,5,6,1,12
345,pop,1,0,2,4,6,2,3,3,2,13
346,pop,1,5,0,1,4,3,1,2,3,11
347,pop,1,2,3,2,6,2,4,3,0,12
348,pop,1,2,3,3,1,1,0,5,2,13
349,pop,2,0,0,2,1,3,4,7,0,12
350,pop,1,0,7,6,5,0,0,0,3,12
351,pop,0,1,6,8,5,0,0,0,4,12
352,pop,2,3,7,4,5,1,0,1,3,12
353,pop,0,2,5,5,6,0,1,3,4,12
354,pop,2,3,2,6,11,0,1,0,1,12
355,pop,3,2,6,4,3,1,2,1,2,12
356,pop,2,2,5,4,7,2,6,2,3,13
357,pop,6,3,3,5,7,1,2,0,1,12
358,pop,3,4,0,1,1,5,8,6,2,12
359,pop,0,3,5,3,2,1,1,1,6,12
360,pop,2,5,2,0,7,0,1,6,4,12
361,pop,1,3,3,1,2,2,2,6,5,12
362,pop,2,1,0,1,0,8,9,0,0,11
363,pop,4,0,1,6,4,1,5,1,1,12
364,pop,1,1,3,4,6,0,0,3,6,12
365,pop,2,3,5,3,5,0,1,1,4,13
366,pop,0,1,5,7,1,0,0,2,5,12
367,pop,2,4,0,2,0,4,0,6,7,12
368,pop,1,1,6,3,4,1,10,0,0,12
369,pop,1,3,4,4,9,0,5,1,2,12
370,pop,1,1,2,25,6,0,0,0,24,28
371,pop,1,1,0,0,0,8,7,6,0,12
372,pop,1,2,6,4,6,0,3,0,3,12
373,pop,0,0,5,6,7,0,3,2,0,12
374,pop,2,1,5,7,5,0,1,1,5,12
375,pop,2,2,1,4,5,2,7,1,1,12
376,pop,2,1,9,5,5,0,1,0,1,12
377,pop,3,0,3,5,2,6,6,1,1,12
378,pop,1,0,1,4,3,1,9,0,0,11
379,pop,2,0,1,3,1,2,7,3,2,12
380,pop,2,2,0,2,1,1,4,4,3,12
381,pop,1,0,4,5,9,0,0,2,2,13
382,pop,3,0,0,7,1,6,4,3,0,12
383,pop,4,1,7,2,0,3,10,0,0,12
384,pop,2,0,3,3,4,2,4,1,1,12
385,pop,4,1,1,1,2,3,7,2,1,12
386,pop,4,1,1,2,2,2,1,4,2,11
387,pop,1,0,0,2,0,6,5,7,1,12
388,pop,5,2,4,4,1,0,6,2,0,12
389,pop,2,1,6,3,4,0,3,1,4,12
390,pop,2,0,2,5,1,3,5,2,1,12
391,pop,3,0,2,2,0,3,9,2,1,12
392,pop,1,0,7,5,8,0,1,0,4,12
393,pop,2,6,3,4,6,0,2,4,2,12
394,pop,3,1,0,3,0,7,7,5,3,13
395,pop,6,0,2,2,1,1,9,1,0,12
396,pop,3,2,3,6,4,0,2,1,2,12
397,pop,1,1,1,2,2,4,0,4,6,11
398,pop,3,0,0,4,3,2,7,3,2,11
399,pop,4,1,7,7,8,1,2,0,3,12
400,pop,3,2,1,4,1,0,3,6,5,12
